PLR_id;PLR_name;bzr_id;bzr_name;pgr_id;pgr_name;bezirk_name;area_sqm
1100101;Stülerstraße;11001;Tiergarten Süd;110;Zentrum;Mitte;366933,12
1100102;Großer Tiergarten;11001;Tiergarten Süd;110;Zentrum;Mitte;3919852,22
1100103;Lützowstraße;11001;Tiergarten Süd;110;Zentrum;Mitte;547183,23
1100104;Körnerstraße;11001;Tiergarten Süd;110;Zentrum;Mitte;338513,95
1100205;Wilhelmstraße;11002;Regierungsviertel;110;Zentrum;Mitte;634656,82
1100206;Unter den Linden;11002;Regierungsviertel;110;Zentrum;Mitte;1297220,38
1100207;Leipziger Straße;11002;Regierungsviertel;110;Zentrum;Mitte;763632,87
1100308;Charitéviertel;11003;Alexanderplatz;110;Zentrum;Mitte;1682630,37
1100309;Oranienburger Straße;11003;Alexanderplatz;110;Zentrum;Mitte;1011360,28
1100310;Alexanderplatzviertel;11003;Alexanderplatz;110;Zentrum;Mitte;1365179,02
1100311;Karl-Marx-Allee;11003;Alexanderplatz;110;Zentrum;Mitte;807969,28
1100312;Heine-Viertel West;11003;Alexanderplatz;110;Zentrum;Mitte;643620,27
1100313;Heine-Viertel Ost;11003;Alexanderplatz;110;Zentrum;Mitte;718074,52
1100414;Nordbahnhof;11004;Brunnenstraße Süd;110;Zentrum;Mitte;373032,14
1100415;Invalidenstraße;11004;Brunnenstraße Süd;110;Zentrum;Mitte;780156,01
1100416;Arkonaplatz;11004;Brunnenstraße Süd;110;Zentrum;Mitte;602008,98
1200517;Huttenkiez;12005;Moabit West;120;Moabit;Mitte;2484997,12
1200518;Beusselkiez;12005;Moabit West;120;Moabit;Mitte;236852,70
1200519;Emdener Straße;12005;Moabit West;120;Moabit;Mitte;347161,16
1200520;Bremer Straße;12005;Moabit West;120;Moabit;Mitte;429962,47
1200521;Zwinglistraße;12005;Moabit West;120;Moabit;Mitte;166607,92
1200522;Elberfelder Straße;12005;Moabit West;120;Moabit;Mitte;639464,56
1200623;Stephankiez;12006;Moabit Ost;120;Moabit;Mitte;896488,24
1200624;Heidestraße;12006;Moabit Ost;120;Moabit;Mitte;688003,29
1200625;Lübecker Straße;12006;Moabit Ost;120;Moabit;Mitte;325107,55
1200626;Thomasiusstraße;12006;Moabit Ost;120;Moabit;Mitte;552849,44
1200627;Zillesiedlung;12006;Moabit Ost;120;Moabit;Mitte;174355,31
1200628;Lüneburger Straße;12006;Moabit Ost;120;Moabit;Mitte;745620,77
1200629;Hansaviertel;12006;Moabit Ost;120;Moabit;Mitte;533332,60
1300730;Drontheimer Straße;13007;Osloer Straße;130;Gesundbrunnen;Mitte;452957,42
1300731;Koloniestraße;13007;Osloer Straße;130;Gesundbrunnen;Mitte;666936,95
1300732;Soldiner Straße;13007;Osloer Straße;130;Gesundbrunnen;Mitte;588082,70
1300733;Gesundbrunnen;13007;Osloer Straße;130;Gesundbrunnen;Mitte;658295,46
1300834;Brunnenstraße;13008;Brunnenstraße Nord;130;Gesundbrunnen;Mitte;775000,10
1300835;Humboldthain Süd;13008;Brunnenstraße Nord;130;Gesundbrunnen;Mitte;1103905,65
1300836;Humboldthain Nordwest;13008;Brunnenstraße Nord;130;Gesundbrunnen;Mitte;1441462,64
1400937;Afrikanische Straße;14009;Parkviertel;140;Wedding;Mitte;3674275,01
1400938;Kameruner Straße;14009;Parkviertel;140;Wedding;Mitte;1196162,43
1400939;Glasgower Straße;14009;Parkviertel;140;Wedding;Mitte;364634,09
1400940;Schillerpark;14009;Parkviertel;140;Wedding;Mitte;917917,74
1400941;Londoner Straße;14009;Parkviertel;140;Wedding;Mitte;450354,62
1400942;Westliche Müllerstraße;14009;Parkviertel;140;Wedding;Mitte;531514,43
1401043;Antonstraße;14010;Wedding Zentrum;140;Wedding;Mitte;298923,10
1401044;Uferstraße;14010;Wedding Zentrum;140;Wedding;Mitte;491569,06
1401045;Schwedenstraße;14010;Wedding Zentrum;140;Wedding;Mitte;267818,86
1401046;Nordufer;14010;Wedding Zentrum;140;Wedding;Mitte;325061,74
1401047;Sparrplatz;14010;Wedding Zentrum;140;Wedding;Mitte;309180,47
1401048;Leopoldplatz;14010;Wedding Zentrum;140;Wedding;Mitte;408312,08
1401049;Schulstraße;14010;Wedding Zentrum;140;Wedding;Mitte;404133,53
2100101;Askanischer Platz;21001;Südliche  Friedrichstadt;210;Kreuzberg Nord;Friedrichshain-Kreuzberg;710740,22
2100102;Mehringplatz;21001;Südliche  Friedrichstadt;210;Kreuzberg Nord;Friedrichshain-Kreuzberg;624470,27
2100103;Am Berlin Museum;21001;Südliche  Friedrichstadt;210;Kreuzberg Nord;Friedrichshain-Kreuzberg;413267,47
2100104;Moritzplatz;21001;Südliche  Friedrichstadt;210;Kreuzberg Nord;Friedrichshain-Kreuzberg;380552,82
2100105;Prinzenstraße;21001;Südliche  Friedrichstadt;210;Kreuzberg Nord;Friedrichshain-Kreuzberg;423364,74
2100106;Wassertorplatz;21001;Südliche  Friedrichstadt;210;Kreuzberg Nord;Friedrichshain-Kreuzberg;388956,59
2200207;Gleisdreieck;22002;Tempelhofer Vorstadt;220;Kreuzberg Süd;Friedrichshain-Kreuzberg;746235,79
2200208;Rathaus Yorckstraße;22002;Tempelhofer Vorstadt;220;Kreuzberg Süd;Friedrichshain-Kreuzberg;428891,21
2200209;Viktoriapark;22002;Tempelhofer Vorstadt;220;Kreuzberg Süd;Friedrichshain-Kreuzberg;693588,88
2200210;Urbanstraße;22002;Tempelhofer Vorstadt;220;Kreuzberg Süd;Friedrichshain-Kreuzberg;916813,08
2200211;Chamissokiez;22002;Tempelhofer Vorstadt;220;Kreuzberg Süd;Friedrichshain-Kreuzberg;977115,40
2200212;Graefekiez Süd;22002;Tempelhofer Vorstadt;220;Kreuzberg Süd;Friedrichshain-Kreuzberg;391152,06
2200213;Graefekiez Nord;22002;Tempelhofer Vorstadt;220;Kreuzberg Süd;Friedrichshain-Kreuzberg;592508,02
2300314;Oranienplatz;23003;Nördliche Luisenstadt;230;Kreuzberg Ost;Friedrichshain-Kreuzberg;443945,41
2300315;Lausitzer Platz;23003;Nördliche Luisenstadt;230;Kreuzberg Ost;Friedrichshain-Kreuzberg;350912,76
2300316;Köpenicker Straße;23003;Nördliche Luisenstadt;230;Kreuzberg Ost;Friedrichshain-Kreuzberg;471428,88
2300417;Reichenberger Straße West;23004;Südliche Luisenstadt;230;Kreuzberg Ost;Friedrichshain-Kreuzberg;369696,09
2300418;Reichenberger Straße Ost;23004;Südliche Luisenstadt;230;Kreuzberg Ost;Friedrichshain-Kreuzberg;599772,68
2300419;Wrangelkiez;23004;Südliche Luisenstadt;230;Kreuzberg Ost;Friedrichshain-Kreuzberg;526711,17
2400520;Barnimkiez;24005;Karl-Marx-Allee Nord;240;Friedrichshain West;Friedrichshain-Kreuzberg;941574,66
2400521;Friedenstraße;24005;Karl-Marx-Allee Nord;240;Friedrichshain West;Friedrichshain-Kreuzberg;731469,75
2400522;Richard-Sorge-Viertel;24005;Karl-Marx-Allee Nord;240;Friedrichshain West;Friedrichshain-Kreuzberg;554546,14
2400623;Andreasviertel;24006;Karl-Marx-Allee Süd;240;Friedrichshain West;Friedrichshain-Kreuzberg;921730,46
2400624;Weberwiese;24006;Karl-Marx-Allee Süd;240;Friedrichshain West;Friedrichshain-Kreuzberg;564679,73
2400625;Wriezener Bahnhof;24006;Karl-Marx-Allee Süd;240;Friedrichshain West;Friedrichshain-Kreuzberg;864405,00
2500726;Hausburgviertel;25007;Frankfurter Allee Nord;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;309450,36
2500727;Forckenbeckplatz;25007;Frankfurter Allee Nord;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;338018,54
2500728;Samariterviertel;25007;Frankfurter Allee Nord;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;310612,44
2500729;Pettenkofer Straße;25007;Frankfurter Allee Nord;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;322479,82
2500830;Niederbarnimstraße;25008;Frankfurter Allee Süd FK;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;165474,09
2500831;Wismarplatz;25008;Frankfurter Allee Süd FK;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;248991,83
2500832;Traveplatz;25008;Frankfurter Allee Süd FK;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;369572,69
2500833;Boxhagener Platz;25008;Frankfurter Allee Süd FK;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;340152,80
2500834;Revaler Straße;25008;Frankfurter Allee Süd FK;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;494580,92
2500835;Stralauer Kiez;25008;Frankfurter Allee Süd FK;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;1355179,84
2500836;Stralauer Halbinsel;25008;Frankfurter Allee Süd FK;250;Friedrichshain Ost;Friedrichshain-Kreuzberg;1117019,93
3100101;Bucher Forst;31001;Buch;310;Buch;Pankow;18376942,24
3100102;Klinikum Buch;31001;Buch;310;Buch;Pankow;2732342,63
3100103;Karower Chaussee;31001;Buch;310;Buch;Pankow;1876525,32
3200204;Blankenfelde;32002;Blankenfelde/Niederschönhausen;320;Nördliches Pankow;Pankow;13068045,62
3200205;Uhlandstraße;32002;Blankenfelde/Niederschönhausen;320;Nördliches Pankow;Pankow;2411910,65
3200206;Pastor-Niemöller-Platz;32002;Blankenfelde/Niederschönhausen;320;Nördliches Pankow;Pankow;1104560,54
3200207;Herthaplatz;32002;Blankenfelde/Niederschönhausen;320;Nördliches Pankow;Pankow;3080857,53
3200308;Nisbléstraße;32003;Buchholz;320;Nördliches Pankow;Pankow;1134328,37
3200309;Eddastraße;32003;Buchholz;320;Nördliches Pankow;Pankow;3067594,75
3200310;Krugpfuhl;32003;Buchholz;320;Nördliches Pankow;Pankow;2267519,80
3300411;Karow Nord;33004;Karow;330;Nördliches Weißensee;Pankow;1668495,20
3300412;Karow Bahnhof;33004;Karow;330;Nördliches Weißensee;Pankow;3078366,41
3300413;Karow Ost;33004;Karow;330;Nördliches Weißensee;Pankow;1864295,02
3300514;Blankenburg;33005;Blankenburg/Heinersdorf/Märchenland;330;Nördliches Weißensee;Pankow;4720036,85
3300515;Blankenburger Süden;33005;Blankenburg/Heinersdorf/Märchenland;330;Nördliches Weißensee;Pankow;1162758,43
3300516;Heinersdorf;33005;Blankenburg/Heinersdorf/Märchenland;330;Nördliches Weißensee;Pankow;3906851,67
3300517;Märchenland;33005;Blankenburg/Heinersdorf/Märchenland;330;Nördliches Weißensee;Pankow;5824604,20
3400618;Rosenthal;34006;Schönholz/Wilhelmsruh/Rosenthal;340;Südliches Pankow;Pankow;1798409,63
3400619;Wilhelmsruh;34006;Schönholz/Wilhelmsruh/Rosenthal;340;Südliches Pankow;Pankow;2169621,21
3400620;Schönholz;34006;Schönholz/Wilhelmsruh/Rosenthal;340;Südliches Pankow;Pankow;1909863,92
3400721;Florakiez;34007;Pankow Zentrum;340;Südliches Pankow;Pankow;794230,26
3400722;Parkstraße;34007;Pankow Zentrum;340;Südliches Pankow;Pankow;509698,78
3400723;Garbátyplatz;34007;Pankow Zentrum;340;Südliches Pankow;Pankow;608004,20
3400724;Wolfshagener Straße;34007;Pankow Zentrum;340;Südliches Pankow;Pankow;770111,65
3400725;Schlosspark;34007;Pankow Zentrum;340;Südliches Pankow;Pankow;1259169,85
3400826;Tiroler Viertel;34008;Pankow Süd;340;Südliches Pankow;Pankow;658974,26
3400827;Trelleborger Viertel;34008;Pankow Süd;340;Südliches Pankow;Pankow;413280,59
3400828;Spiekermann Straße;34008;Pankow Süd;340;Südliches Pankow;Pankow;364485,52
3400829;Arnold-Zweig-Straße;34008;Pankow Süd;340;Südliches Pankow;Pankow;400608,32
3400830;Kissingenviertel;34008;Pankow Süd;340;Südliches Pankow;Pankow;659329,18
3400831;Pankower Tor;34008;Pankow Süd;340;Südliches Pankow;Pankow;534838,20
3500932;Bühringstraße;35009;Weißensee;350;Südliches Weißensee;Pankow;992560,31
3500933;Weißer See;35009;Weißensee;350;Südliches Weißensee;Pankow;1055244,35
3500934;Weißenseer Spitze;35009;Weißensee;350;Südliches Weißensee;Pankow;627296,98
3500935;Behaimstraße;35009;Weißensee;350;Südliches Weißensee;Pankow;439061,47
3500936;Komponistenviertel Weißensee;35009;Weißensee;350;Südliches Weißensee;Pankow;1119830,06
3501037;Rathaus Weißensee;35010;Weißensee Ost;350;Südliches Weißensee;Pankow;1745042,95
3501038;Hansastraße;35010;Weißensee Ost;350;Südliches Weißensee;Pankow;1964403,81
3601139;Norweger Viertel;36011;Prenzlauer Berg Nordwest;360;Nördlicher Prenzlauer Berg;Pankow;454226,83
3601140;Malmöer Straße;36011;Prenzlauer Berg Nordwest;360;Nördlicher Prenzlauer Berg;Pankow;280597,87
3601141;Arnimplatz;36011;Prenzlauer Berg Nordwest;360;Nördlicher Prenzlauer Berg;Pankow;286793,89
3601142;Falkplatz;36011;Prenzlauer Berg Nordwest;360;Nördlicher Prenzlauer Berg;Pankow;907522,20
3601243;Rodenbergstraße;36012;Prenzlauer Berg Nord;360;Nördlicher Prenzlauer Berg;Pankow;329700,29
3601244;Humannplatz;36012;Prenzlauer Berg Nord;360;Nördlicher Prenzlauer Berg;Pankow;364163,01
3601245;Ostseestraße;36012;Prenzlauer Berg Nord;360;Nördlicher Prenzlauer Berg;Pankow;966061,55
3601346;Gethsemanekirche;36013;Helmholtzplatz;360;Nördlicher Prenzlauer Berg;Pankow;193540,71
3601347;Helmholtzplatz;36013;Helmholtzplatz;360;Nördlicher Prenzlauer Berg;Pankow;297844,20
3601348;Senefelderstraße;36013;Helmholtzplatz;360;Nördlicher Prenzlauer Berg;Pankow;219925,28
3601449;Michelangelostraße;36014;Prenzlauer Berg Ost;360;Nördlicher Prenzlauer Berg;Pankow;858335,00
3601450;Volkspark Prenzlauer Berg;36014;Prenzlauer Berg Ost;360;Nördlicher Prenzlauer Berg;Pankow;1212042,08
3601451;Anton-Saefkow-Park;36014;Prenzlauer Berg Ost;360;Nördlicher Prenzlauer Berg;Pankow;546897,39
3601452;Velodrom;36014;Prenzlauer Berg Ost;360;Nördlicher Prenzlauer Berg;Pankow;552171,16
3601453;Alter Schlachthof;36014;Prenzlauer Berg Ost;360;Nördlicher Prenzlauer Berg;Pankow;577296,88
3701554;Teutoburger Platz;37015;Prenzlauer Berg Südwest;370;Südlicher Prenzlauer Berg;Pankow;548494,31
3701555;Sredzkistraße;37015;Prenzlauer Berg Südwest;370;Südlicher Prenzlauer Berg;Pankow;314596,55
3701556;Kollwitzplatz;37015;Prenzlauer Berg Südwest;370;Südlicher Prenzlauer Berg;Pankow;507074,87
3701657;Thälmannpark;37016;Prenzlauer Berg Süd;370;Südlicher Prenzlauer Berg;Pankow;441349,67
3701658;Christburger Straße;37016;Prenzlauer Berg Süd;370;Südlicher Prenzlauer Berg;Pankow;232831,19
3701659;Immanuelkirchstraße;37016;Prenzlauer Berg Süd;370;Südlicher Prenzlauer Berg;Pankow;411516,73
3701660;Bötzowstraße;37016;Prenzlauer Berg Süd;370;Südlicher Prenzlauer Berg;Pankow;575252,24
4100101;Jungfernheide/Plötzensee;41001;Charlottenburg Nord;410;Charlottenburg Nord;Charlottenburg-Wilmersdorf;5250552,28
4100102;Paul-Hertz-Siedlung;41001;Charlottenburg Nord;410;Charlottenburg Nord;Charlottenburg-Wilmersdorf;537869,77
4200203;Olympiagelände;42002;Heerstraße;420;Charlottenburg West;Charlottenburg-Wilmersdorf;3264447,31
4200204;Angerburger Allee;42002;Heerstraße;420;Charlottenburg West;Charlottenburg-Wilmersdorf;361441,63
4200205;Flatowallee;42002;Heerstraße;420;Charlottenburg West;Charlottenburg-Wilmersdorf;977784,80
4200206;Kranzallee;42002;Heerstraße;420;Charlottenburg West;Charlottenburg-Wilmersdorf;1485568,26
4200207;Eichkamp;42002;Heerstraße;420;Charlottenburg West;Charlottenburg-Wilmersdorf;17441108,90
4200308;Branitzer Platz;42003;Westend;420;Charlottenburg West;Charlottenburg-Wilmersdorf;2755154,22
4200309;Neu Westend;42003;Westend;420;Charlottenburg West;Charlottenburg-Wilmersdorf;677517,51
4200310;Fürstenplatz;42003;Westend;420;Charlottenburg West;Charlottenburg-Wilmersdorf;931615,15
4200311;Königin-Elisabeth-Straße;42003;Westend;420;Charlottenburg West;Charlottenburg-Wilmersdorf;1555819,71
4300412;Schlossgarten;43004;Schloss Charlottenburg;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;1261046,84
4300413;Klausenerplatz;43004;Schloss Charlottenburg;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;478704,32
4300414;Schloßstraße;43004;Schloss Charlottenburg;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;562558,70
4300415;Lietzensee;43004;Schloss Charlottenburg;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;633140,39
4300416;Amtsgerichtsplatz;43004;Schloss Charlottenburg;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;580698,48
4300517;Tegeler Weg;43005;Mierendorffplatz;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;519156,10
4300518;Kaiserin-Augusta-Allee;43005;Mierendorffplatz;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;1376647,60
4300619;Alt-Lietzow;43006;Otto-Suhr-Allee/Kantstraße;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;536736,10
4300620;Spreestadt;43006;Otto-Suhr-Allee/Kantstraße;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;715525,61
4300621;Richard-Wagner-Straße;43006;Otto-Suhr-Allee/Kantstraße;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;550741,73
4300622;Ernst-Reuter-Platz;43006;Otto-Suhr-Allee/Kantstraße;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;959939,51
4300623;Karl-August-Platz;43006;Otto-Suhr-Allee/Kantstraße;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;582736,82
4300624;Savignyplatz;43006;Otto-Suhr-Allee/Kantstraße;430;Charlottenburg Zentrum;Charlottenburg-Wilmersdorf;534645,69
4400725;Güterbahnhof Grunewald;44007;Grunewald;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;543676,59
4400726;Bismarckallee;44007;Grunewald;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;1428456,18
4400727;Flinsberger Platz;44007;Grunewald;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;914968,15
4400728;Hagenplatz;44007;Grunewald;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;943671,38
4400729;Hundekehle;44007;Grunewald;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;3754531,35
4400830;Forckenbeckstraße;44008;Schmargendorf;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;1494617,64
4400831;Messelpark;44008;Schmargendorf;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;544711,08
4400832;Breite Straße;44008;Schmargendorf;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;667165,71
4400833;Schlangenbader Straße;44008;Schmargendorf;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;353214,02
4400834;Binger Straße;44008;Schmargendorf;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;423128,88
4400835;Rüdesheimer Platz;44008;Schmargendorf;440;Wilmersdorf Süd;Charlottenburg-Wilmersdorf;600216,00
4500936;Droysenstraße;45009;Halensee;450;Wilmersdorf Zentrum;Charlottenburg-Wilmersdorf;273549,10
4500937;Halensee;45009;Halensee;450;Wilmersdorf Zentrum;Charlottenburg-Wilmersdorf;709444,64
4500938;Hochmeisterplatz;45009;Halensee;450;Wilmersdorf Zentrum;Charlottenburg-Wilmersdorf;517765,24
